BS_ID	File ID	File Name	File volume	File location
BS_KQPCYZ2K	624309c25638100a011ab983	bbff579f-e4f8-46bc-b9ec-986204fc6cf3.strelka2_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bbff579f-e4f8-46bc-b9ec-986204fc6cf3.strelka2_somatic.norm.annot.protected.vcf.gz
BS_KQPCYZ2K	624309c25638100a011ab985	bbff579f-e4f8-46bc-b9ec-986204fc6cf3.strelka2_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bbff579f-e4f8-46bc-b9ec-986204fc6cf3.strelka2_somatic.norm.annot.protected.vcf.gz.tbi
BS_KQPCYZ2K	624309c25638100a011ab989	bbff579f-e4f8-46bc-b9ec-986204fc6cf3.strelka2_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bbff579f-e4f8-46bc-b9ec-986204fc6cf3.strelka2_somatic.norm.annot.public.vcf.gz
BS_KQPCYZ2K	624309c25638100a011ab8cd	bbff579f-e4f8-46bc-b9ec-986204fc6cf3.strelka2_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bbff579f-e4f8-46bc-b9ec-986204fc6cf3.strelka2_somatic.norm.annot.public.vcf.gz.tbi
BS_8SYN7GXG	624309c25638100a011ab9ef	bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.lancet_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.lancet_somatic.norm.annot.protected.maf
BS_8SYN7GXG	624309c25638100a011ab97e	bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.lancet_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.lancet_somatic.norm.annot.public.maf
BS_8SYN7GXG	624309c25638100a011ab973	bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.mutect2_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.mutect2_somatic.norm.annot.protected.maf
BS_8SYN7GXG	624309c25638100a011ab972	bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.mutect2_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.mutect2_somatic.norm.annot.public.maf
BS_8SYN7GXG	624309c25638100a011ab9b7	bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.strelka2_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.strelka2_somatic.norm.annot.protected.maf
BS_8SYN7GXG	624309c25638100a011ab99a	bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.strelka2_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.strelka2_somatic.norm.annot.public.maf
BS_8SYN7GXG	624309c25638100a011ab974	bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.vardict_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.vardict_somatic.norm.annot.protected.maf
BS_8SYN7GXG	624309c25638100a011ab977	bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.vardict_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc2bd6d3-bed8-4b0d-8a95-e9c748113a03.vardict_somatic.norm.annot.public.maf
BS_3VKW5988	624309c25638100a011ab98b	bc7609f2-53c8-41a0-a21d-0969ef397043.vardict_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc7609f2-53c8-41a0-a21d-0969ef397043.vardict_somatic.norm.annot.protected.vcf.gz
BS_3VKW5988	624309c25638100a011ab9b2	bc7609f2-53c8-41a0-a21d-0969ef397043.vardict_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc7609f2-53c8-41a0-a21d-0969ef397043.vardict_somatic.norm.annot.protected.vcf.gz.tbi
BS_3VKW5988	624309c25638100a011ab904	bc7609f2-53c8-41a0-a21d-0969ef397043.vardict_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc7609f2-53c8-41a0-a21d-0969ef397043.vardict_somatic.norm.annot.public.vcf.gz
